"country","gap_2022","gap_2010","change","log_initial"
"AT",14.7046029608729,21.8401215406085,-7.13551857973556,3.73385572464271
"BE",6.21353771251538,10.6603359390937,-4.44679822657833,3.42296983030124
"BG",7.1140137025483,7.0457921638368,0.0682215387114988,3.29753143547815
"CH",11.5957811910382,15.1939735019285,-3.59819231089037,3.56087486061483
"CY",16.48042590794,18.6778498380681,-2.19742393012815,3.65526708057227
"CZ",14.7590644543005,17.236917317218,-2.47785286291748,3.61730067017526
"DE",14.1438081029595,17.9276921243186,-3.78388402135905,3.63568150819497
"DK",12.7551014942202,15.5754021058324,-2.82030061161221,3.57165444695722
"EE",14.3100491367142,15.9747017800834,-1.66465264336927,3.5828159630958
"EL",15.1300158345874,15.9340668048044,-0.804050970216968,3.58168578160601
"ES",13.5338282205073,17.3663306113874,-3.83250239088015,3.62077004791874
"FI",10.5035914736761,13.4163470879214,-2.91275561424539,3.50904521401912
"FR",8.91882975722854,11.3443393952313,-2.42550963800275,3.44503368922011
"HR",10.2427732826514,5.54920018772992,4.69357309492145,3.24060601235269
"HU",12.6764823639525,6.99198889612546,5.68449346782701,3.29554011442703
"IE",13.3553838536732,18.3674980270169,-5.0121141733437,3.64721069564382
"IS",12.727894280953,17.0798983413271,-4.35200406037416,3.61307499908999
"IT",13.4718493070412,13.9510454423782,-0.479196135336965,3.52491964712052
"LT",11.4691596429101,13.3009856074804,-1.83182596457031,3.50558699437063
"LU",7.80520678838348,11.5899808017616,-3.78477401337815,3.4528400070823
"LV",10.081099789369,14.3535061987403,-4.27240640937131,3.53670408620282
"MT",10.7976295084158,13.6900904066239,-2.89246089820807,3.51720374090028
"NL",14.6743915330952,12.5515410957803,2.12285043731485,3.4828247130263
"NO",9.98916043187711,10.4940580631636,-0.504897631286445,3.41753184703276
"PL",13.9543447597778,16.73759456137,-2.78324980159228,3.60380060571573
"PT",13.8711070341373,15.8366749534128,-1.96556791927552,3.57897180906552
"RO",6.37703399839391,4.96933236980087,1.40770162859304,3.21764836664152
"SE",7.39003426725622,10.5399509166834,-3.14991664942714,3.4190356926079
"SI",8.65776640581803,9.36821554453765,-0.710449138719625,3.37991298560296
"SK",13.2704914504899,15.1725883804329,-1.90209692994305,3.56026704003693
