"Sector","Coefficient","SE","t_stat","p_value","Significance"
"Manufacturing",4.82303001004269,0.950323280400226,5.07514664695101,3.9192272211109e-07,"***"
"Mining",4.11039988785007,1.33950122861394,3.06860479113061,0.00215452309995422,"**"
"Finance",3.20297585676388,1.13884642058709,2.81247391998009,0.00492271687143779,"**"
"Trade",2.55513673115552,0.897898590614727,2.84568520082674,0.00443772638496574,"**"
"Transport",1.78709277757318,1.00873947882835,1.77160983096339,0.0764800570362132,""
"Electricity",1.5842946553861,1.21238261102516,1.30676128227083,0.191314238132733,""
"Construction",1.23534331400299,1.03816991860053,1.18992401134898,0.234095474786526,""
"Professional",0.625221337562238,1.19563370215964,0.52292047006781,0.601037479113189,""
"Arts",0.230428297534286,0.995072495118099,0.231569356669775,0.816875733141417,""
"RealEstate",0.0867952629026337,1.09038789500325,0.0796003544246744,0.936556196706009,""
"IT",-0.0223127388513136,0.987240548614876,-0.022601116701111,0.981968759776556,""
"Health",-0.32870262004671,0.972471048810537,-0.338007615186856,0.735362275229066,""
"Admin",-0.957909279861872,0.993546319624304,-0.964131476249736,0.334995871351345,""
"Water",-1.43840134777765,1.02277918559898,-1.40636548732193,0.159636758603636,""
"PublicAdmin",-2.35925328679792,1.00275719200237,-2.35276625848658,0.0186474471368081,"*"
"Education",-4.13364987952823,1.00918803550813,-4.09601554327476,4.22572935390077e-05,"***"
"Hospitality",-4.37800472473902,1.00787806747151,-4.3437841005135,1.40987561403408e-05,"***"
